,process,region,obj,norm,process_type,color,combine_idx,title
0,CMS_AN23122_Background,fail,,,BKG,yellow,,CMS_AN23122_Background
1,CMS_AN23122_Background_0x0,pass,,,BKG,yellow,,CMS_AN23122_Background
2,CMS_AN23122_Background_1x0,pass,,,BKG,yellow,,CMS_AN23122_Background
3,CMS_AN23122_Background_1x0Prime,pass,,,BKG,yellow,,CMS_AN23122_Background
4,CMS_AN23122_Background_0x1,pass,,,BKG,yellow,,CMS_AN23122_Background
5,CMS_AN23122_Background_1x1,pass,,,BKG,yellow,,CMS_AN23122_Background
6,CMS_AN23122_Background_2x0,pass,,,BKG,yellow,,CMS_AN23122_Background
7,CMS_AN23122_Background_2x1,pass,,,BKG,yellow,,CMS_AN23122_Background
8,CMS_AN23122_Background_2x2,pass,,,BKG,yellow,,CMS_AN23122_Background
9,CMS_AN23122_Background_expo,pass,,,BKG,yellow,,CMS_AN23122_Background
10,CMS_AN23122_Background_sigmoid,pass,,,BKG,yellow,,CMS_AN23122_Background
